id,name,genre,publisher,price,popularity,date
300982900,101 Burps,Entertainment,Inner Four Inc.,0.99,0.00292920670,2008-12-23
300982132,Life on the Mississippi by Mark Twain (Text Synchronized Audiobook),Book,Appsessions LLC,0.99,0.00004530888,2009-01-01
286468161,FMTouch,Business,FMWebschool Inc.,69.99,0.00024662857,2008-07-25
299467634,ASL Lite,Education,Zoosware,0.00,0.00490513440,2008-12-06
300711117,TipEven Tip Calculator,Finance,Ed Crookshanks,0.99,0.00002168720,2008-12-19
289218198,Colorblind,Games,ANDREW BORLAND,0.99,0.00415862860,2008-12-18
298659464,The Santa Claus Times,Entertainment,Iconia AE Ltd. & Smart Media Factory SL.,1.99,0.00000032332,2008-11-27
301464813,AccelaStudy™ Polish | Greek,Education,Renkara Media Group Inc.,14.99,0.00000000000,2009-01-12
296553962,PiCards,Photography,Thomas Braun,3.99,0.00005057505,2008-11-12
301247135,TravelConversation_Russian,Travel,DaolSoft Co. Ltd.,3.99,0.00000757732,2009-01-15
289214998,iPGStats,Productivity,Jan Otto,0.00,0.00020610810,2008-09-08
288944623,nikoli SUDOKU Vol.02,Games,Hudson,5.99,0.00000564207,2008-08-27
300908322,Charlottesville Tomorrow,News,WillowTree Consulting Group Inc.,0.00,0.00007145367,2008-12-31
300109935,Squaren,Games,Joe Gorecki,0.99,0.00000094035,2008-12-22
294380152,i Fishing,Games,Egerter Software,2.99,0.00610869500,2008-10-21
303076626,Night Lights Lite,Games,tophervoss,0.00,0.00058100500,2009-01-23
299245798,Computer Desktop Encyclopedia,Reference,CharlesMezak,9.99,0.00010993396,2008-12-04
288670020,TuneORama,Music,Yonac,2.99,0.00158794930,2009-01-28
295467543,Simple ToDo,Utilities,Death=Head & Co.,0.00,0.00025610030,2008-11-03
289208470,The Eye of Ra Lite,Games,Olaf Schneider,0.00,0.00158136120,2008-12-02
301078493,Coop,Lifestyle,Coop,0.00,0.00010293446,2008-12-29
285053111,ReaddleDocs,Business,Readdle,9.99,0.00249781930,2009-01-27
290555540,PanameTraffic,Utilities,sanposuru,0.00,0.00018689260,2008-09-06
286022437,Cardio Track,Healthcare & Fitness,Bryan Gruver,4.99,0.00030860622,2009-01-21
302170850,Woodya Run,Games,Netitbe,0.00,0.00832715500,2009-01-14
293628704,Square Master Lite,Games,Dan Bourque,0.00,0.00173651810,2008-10-18
292115808,Game Gems,Games,Tap 4 Taxi,0.99,0.00014327439,2008-10-09
294176807,Mom,Utilities,P-Edge media,0.99,0.00001331530,2008-10-19
303282272,iSpell Casa (Italiano),Education,Magiecom,2.99,0.00000166698,2009-01-22
292760731,Free Menstrual Calendar,Healthcare & Fitness,Tamtris Web Services Inc.,0.00,0.06241718700,2009-02-01
299342927,PocketPhonics,Education,Apps in My Pocket Ltd,2.99,0.00046658210,2009-01-27
302955821,Citizens Arrest,Utilities,Splaysoft LLC.,0.00,0.02041833700,2009-01-19
302953005,Wordex - 日本語 - Japanese,Games,Matthew Tippett,0.99,0.00001483181,2009-01-21
302088996,Asteroids,Games,Codesign,0.99,0.00024213885,2009-01-12
298041642,Brothers In Arms® Hour of Heroes,Games,gameloft (iDP),5.99,0.02902464800,2008-11-23
297285002,Fruit and Vegetable Flash Cards,Education,Yoller,1.99,0.00008085344,2009-01-23
286115722,Frogger,Games,Konami Digital Entertainment,5.99,0.00123475850,2008-08-01
294325816,Truphone for the iPod touch,Social Networking,Truphone,0.00,0.02935600000,2008-11-17
299930431,Virtual Santa,Entertainment,metaio Inc.,0.99,0.00063240057,2008-12-20
297984337,Love Score,Entertainment,Iceblink Software,2.99,0.00001349528,2008-11-26
300843407,Encamp - Basecamp on iPhone,Productivity,Alexander Batalov,9.99,0.00022816987,2008-12-22
291725264,Fuzzle Lite,Games,CandyCane,0.00,0.01557177200,2009-01-14
303540491,Reality Check! Volume 2 Issue 6,Book,UCLICK LLC,0.99,0.00005931852,2009-01-26
303054226,Estonia travel guides,Travel,Sehat Rosny,0.99,0.00000292760,2009-01-20
293935959,iBeer Pong,Games,iPhoneWare.com,0.99,0.00030668070,2008-10-16
292261922,iFXMagic Free,Entertainment,Digital Thought Software,0.00,0.01919599200,2008-11-03
293826286,BodyCare,Healthcare & Fitness,tibSys SARL,1.99,0.00000621912,2008-10-15
299628871,eRead,Book,Super Art Software,0.99,0.00001387343,2008-12-09
303298985,(14)キャプテン イガラシ編/ちばあきお,Book,NTT Solmare,0.99,0.00000000000,2009-01-27
294904005,川柳箋ライト,Lifestyle,Kaigi-An Inc.,1.99,0.00000007973,2008-10-28
293554503,Kamehameha,Entertainment,Issay Yoshida,0.00,0.00074114680,2008-10-10
294958883,Wherester,Social Networking,GlobalMotion Media Inc,0.00,0.00009308048,2008-11-01
